"TambonID","TambonThai","TambonEng","TambonThaiShort","TambonEngShort","DistrictID","DistrictThai","DistrictEng","DistrictThaiShort","DistrictEngShort","ProvinceID","ProvinceThai","ProvinceEng","Region","RegionOfFour","RegionTravel","Metropolis","PostalCodeRemark","PostCodeMajor","PostCodeMinor"
100101,"แขวงพระบรมมหาราชวัง","Khwaeng Phra Borom Maha Ratchawang","พระบรมมหาราชวัง","Phra Borom Maha Ratchawang","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100102,"แขวงวังบูรพาภิรมย์","Khwaeng Wang Burapha Phirom","วังบูรพาภิรมย์","Wang Burapha Phirom","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100103,"แขวงวัดราชบพิธ","Khwaeng Wat Ratchabophit","วัดราชบพิธ","Wat Ratchabophit","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100104,"แขวงสำราญราษฎร์","Khwaeng Samran Rat","สำราญราษฎร์","Samran Rat","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100105,"แขวงศาลเจ้าพ่อเสือ","Khwaeng San Chao Pho Suea","ศาลเจ้าพ่อเสือ","San Chao Pho Suea","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100106,"แขวงเสาชิงช้า","Khwaeng Sao Chingcha","เสาชิงช้า","Sao Chingcha","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100107,"แขวงบวรนิเวศ","Khwaeng Bowon Niwet","บวรนิเวศ","Bowon Niwet","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100108,"แขวงตลาดยอด","Khwaeng Talat Yot","ตลาดยอด","Talat Yot","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100109,"แขวงชนะสงคราม","Khwaeng Chana Songkhram","ชนะสงคราม","Chana Songkhram","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
100110,"แขวงบ้านพานถม","Khwaeng Ban Phan Thom","บ้านพานถม","Ban Phan Thom","1001","เขตพระนคร","Khet Phra Nakhon","พระนคร","Phra Nakhon",10,"กรุงเทพมหานคร","Bangkok","ภาคกลาง","ภาคกลาง","ภาคกลาง","กรุงเทพมหานครและปริมณฑล",,"10200","10200"
